Country,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Afghanistan,920,7200[4100–11000],13[7–20],7200.0,4100.0,11000.0,13.0,7.0,20.0,Eastern Mediterranean
Algeria,12800,16000[15000–17000],81[75–86],16000.0,15000.0,17000.0,81.0,75.0,86.0,Africa
Angola,88700,330000[290000–390000],27[23–31],330000.0,290000.0,390000.0,27.0,23.0,31.0,Africa
Argentina,85500,140000[130000–150000],61[55–67],140000.0,130000.0,150000.0,61.0,55.0,67.0,Americas
Armenia,1900,3500[3000–4400],53[44–65],3500.0,3000.0,4400.0,53.0,44.0,65.0,Europe
Australia,22800,28000[23000–31000],83[70–93],28000.0,23000.0,31000.0,83.0,70.0,93.0,Western Pacific
Bahamas,3100,6000[5300–6700],52[45–58],6000.0,5300.0,6700.0,52.0,45.0,58.0,Americas
Bangladesh,3000,14000[12000–16000],22[19–25],14000.0,12000.0,16000.0,22.0,19.0,25.0,South-East Asia
Barbados,1500,3000[2700–3400],50[44–57],3000.0,2700.0,3400.0,50.0,44.0,57.0,Americas
Belarus,15500,27000[22000–34000],59[48–75],27000.0,22000.0,34000.0,59.0,48.0,75.0,Europe
Belize,1400,4900[4400–5400],28[26–31],4900.0,4400.0,5400.0,28.0,26.0,31.0,Americas
Benin,44200,73000[48000–120000],61[40–95],73000.0,48000.0,120000.0,61.0,40.0,95.0,Africa
Bhutan,480,1300[700–2700],37[20–78],1300.0,700.0,2700.0,37.0,20.0,78.0,South-East Asia
Bolivia (Plurinational State of),9900,22000[20000–24000],44[40–48],22000.0,20000.0,24000.0,44.0,40.0,48.0,Americas
Bosnia and Herzegovina,220,500[500–500],67[57–78],500.0,500.0,500.0,67.0,57.0,78.0,Europe
Botswana,307000,370000[330000–400000],83[75–90],370000.0,330000.0,400000.0,83.0,75.0,90.0,Africa
Brazil,593000,900000[690000–1100000],66[51–82],900000.0,690000.0,1100000.0,66.0,51.0,82.0,Americas
Bulgaria,1500,3500[3000–4100],41[35–48],3500.0,3000.0,4100.0,41.0,35.0,48.0,Europe
Burkina Faso,59300,96000[78000–120000],62[50–75],96000.0,78000.0,120000.0,62.0,50.0,75.0,Africa
Burundi,65500,82000[71000–97000],80[69–94],82000.0,71000.0,97000.0,80.0,69.0,94.0,Africa
Cabo Verde,2200,2400[2100–2900],89[75–95],2400.0,2100.0,2900.0,89.0,75.0,95.0,Africa
Cambodia,59500,73000[64000–84000],81[71–93],73000.0,64000.0,84000.0,81.0,71.0,93.0,Western Pacific
Cameroon,281000,540000[470000–590000],52[46–57],540000.0,470000.0,590000.0,52.0,46.0,57.0,Africa
Central African Republic,39600,110000[90000–140000],36[30–45],110000.0,90000.0,140000.0,36.0,30.0,45.0,Africa
Chad,61400,120000[94000–150000],51[40–63],120000.0,94000.0,150000.0,51.0,40.0,63.0,Africa
Chile,45100,71000[63000–78000],63[56–70],71000.0,63000.0,78000.0,63.0,56.0,70.0,Americas
